t_centre_s,phase,phase_label,freeze_index,tremor_power,movement_energy
2.000,0,phase 0,1.1491,19.6753,140.9491
4.000,0,phase 0,1.7061,50.2781,131.6089
6.000,0,phase 0,1.2581,33.2431,144.3551
8.000,0,phase 0,0.6112,26.9280,270.5065
10.000,0,phase 0,0.9036,43.8459,244.8502
12.000,1,phase 1,2.0765,1291.2299,13583.8825
14.000,1,phase 1,0.6749,1614.9082,18479.9522
16.000,1,phase 1,0.9272,1625.6394,16241.7770
18.000,1,phase 1,1.1282,208.0233,1740.9102
20.000,2,phase 2,1.0789,13746.4578,30022.8780
22.000,2,phase 2,6.6343,179664.9812,213198.0334
24.000,2,phase 2,21.3511,266635.1207,284591.4167
26.000,2,phase 2,3.3698,118654.9002,162557.6964
28.000,2,phase 2,5.2919,60585.8362,81297.6108
30.000,2,phase 2,3.6149,20777.1811,28291.2091
32.000,3,phase 3,1.7394,183.8972,1052.0291
34.000,3,phase 3,0.2474,163.2628,3687.1639
36.000,3,phase 3,0.2763,181.2292,2131.8380
38.000,3,phase 3,0.2382,269.4078,3858.3515
